paper_title,Word Re-ordering and DP-based Search in Statistical Machine Translation
abstract,"In this paper, we describe a search procedure for statistical machine translation (MT) based on dynamic programming (DP)."
abstract,"Starting from a DP-based solution to the traveling salesman problem, we present a novel technique to restrict the possible word reordering between source and target language in order to achieve an eÆcient search algorithm."
abstract,A search restriction especially useful for the translation direction from German to English is presented.
abstract,"The experimental tests are carried out on the Verbmobil task (GermanEnglish, 8000-word vocabulary), which is a limited-domain spoken-language task."
Introduction,The goal of machine translation is the translation of a text given in some source language into a target language.
Introduction,"We are given a source string fJ 1 = f1:::fj :::fJ of length J, which is to be translated into a target string eI 1 = e1:::ei:::eI of length I. Among all possible target strings, we will choose the string with the highest probability: ^eI 1 = arg max eI 1 fPr(eI 1jfJ 1 )g = arg max eI 1 fPr(eI 1) Pr(fJ 1 jeI 1)g : (1) The argmax operation denotes the search problem, i.e. the generation of the output sentence in the target language."
Introduction,"Pr(eI 1) is the language model of the target language, whereas Pr(fJ 1 jeI1) is the transla tion model."
Introduction,Our approach uses word-to-word dependencies between source and target words.
Introduction,"The model is often further restricted so that each source word is assigned to exactly one target word (Brown et al., 1993; Ney et al., 2000)."
Introduction,These alignment models are similar to the concept of hidden Markov models (HMM) in speech recognition.
Introduction,"The alignment mapping is j ! i = aj from source position j to target position i = aj . The use of this alignment model raises major problems if a source word has to be aligned to several target words, e.g. when translating German compound nouns."
Introduction,A simple extension will be used to handle this problem.
Introduction,"In Section 2, we brie y review our approach to statistical machine translation."
Introduction,"In Section 3, we introduce our novel concept to word reordering and a DP-based search, which is especially suitable for the translation direction from German to English."
Introduction,"This approach is compared to another reordering scheme presented in (Berger et al., 1996)."
Introduction,"In Section 4, we present the performance measures used and give translation results on the Verbmobil task."
Basic Approach.,"In this section, we brie y review our translation approach."
Basic Approach.,In Eq.
Basic Approach.,"(1), Pr(eI 1) is the language model, which is a trigram language model in this case."
Basic Approach.,"For the translation model Pr(fJ 1 jeI 1), we go on the assumption that each source word is aligned to exactly one target word."
Basic Approach.,"The alignment model uses two kinds of parameters: alignment probabilities p(aj jaj􀀀1; I; J), where the probability of alignment aj for position j depends on the previous alignment position aj􀀀1 (Ney et al., 2000) and lexicon probabilities p(fj jeaj )."
Basic Approach.,"When aligning the words in parallel texts (for language pairs like SpanishEnglish, French-English, ItalianGerman,...), we typically observe a strong localization effect."
Basic Approach.,"In many cases, there is an even stronger restriction: over large portions of the source string, the alignment is monotone."
Basic Approach.,2.1 Inverted Alignments.
Basic Approach.,"To explicitly handle the word reordering between words in source and target language, we use the concept of the so-called inverted alignments as given in (Ney et al., 2000)."
Basic Approach.,An inverted alignment is defined as follows: inverted alignment: i ! j = bi: Target positions i are mapped to source positions bi.
Basic Approach.,"What is important and is not expressed by the notation is the so-called coverage constraint: each source position j should be 'hit' exactly once by the path of the inverted alignment bI 1 = b1:::bi:::bI . Using the inverted alignments in the maximum approximation, we obtain as search criterion: max I (p(JjI) max eI 1 ( I Yi=1 p(eijei􀀀1 i􀀀2) max bI 1 I Yi=1 [p(bijbi􀀀1; I; J) p(fbi jei)])) = = max I (p(JjI) max eI 1;bI 1 ( I Yi=1 p(eijei􀀀1 i􀀀2) p(bijbi􀀀1; I; J) p(fbi jei)])); where the two products over i have been merged into a single product over i. p(eijei􀀀1 i􀀀2) is the trigram language model probability."
Basic Approach.,The inverted alignment probability p(bijbi􀀀1; I; J) and the lexicon probability p(fbi jei) are obtained by relative frequency estimates from the Viterbi alignment path after the final training iteration.
Basic Approach.,"The details are given in (Och and Ney, 2000)."
Basic Approach.,The sentence length probability p(JjI) is omitted without any loss in performance.
Basic Approach.,"For the inverted alignment probability p(bijbi􀀀1; I; J), we drop the dependence on the target sentence length I. 2.2 Word Joining."
Basic Approach.,"The baseline alignment model does not permit that a source word is aligned to two or more target words, e.g. for the translation direction from German toEnglish, the German compound noun 'Zahnarztter min' causes problems, because it must be translated by the two target words dentist's appointment."
Basic Approach.,"We use a solution to this problem similar to the one presented in (Och et al., 1999), where target words are joined during training."
Basic Approach.,The word joining is done on the basis of a likelihood criterion.
Basic Approach.,"An extended lexicon model is defined, and its likelihood is compared to a baseline lexicon model, which takes only single-word dependencies into account."
Basic Approach.,"E.g. when 'Zahnarzttermin' is aligned to dentist's, the extended lexicon model might learn that 'Zahnarzttermin' actuallyhas to be aligned to both dentist's and ap pointment."
Basic Approach.,"In the following, we assume that this word joining has been carried out."
DP Algorithm for Statistical.,Machine Translation In this case my colleague can not visit on I n d i e s e m F a l l ka nn m e i n K o l l e g e a m the v i e r t e n M a i n i c h t b e s u c h e n S i e you fourth of May Figure 1: Reordering for the German verbgroup.
DP Algorithm for Statistical.,"In order to handle the necessary word reordering as an optimization problem within our dynamic programming approach, we describe a solution to the traveling salesman problem (TSP) which is based on dynamic programming (Held, Karp, 1962)."
DP Algorithm for Statistical.,The traveling salesman problem is an optimization problem which is defined as follows: given are a set of cities S = s1; ; sn and for each pair of cities si; sj the cost dij > 0 for traveling from city si to city sj . We are looking for the shortest tour visiting all cities exactly once while starting and ending in city s1.
DP Algorithm for Statistical.,A straightforward way to find the shortest tour is by trying all possible permutations of the n cities.
DP Algorithm for Statistical.,The resulting algorithm has a complexity of O(n!).
DP Algorithm for Statistical.,"However, dynamic programming can be used to find the shortest tour in exponential time, namely in O(n22n), using the algorithm by Held and Karp."
DP Algorithm for Statistical.,"The approach recursively evaluates a quantity Q(C; j), where C is the set of already visited cities and sj is the last visited city."
DP Algorithm for Statistical.,Subsets C of increasing cardinality c are processed.
DP Algorithm for Statistical.,The algorithm works due to the fact that not all permutations of cities have to be considered explicitly.
DP Algorithm for Statistical.,"For a given partial hypothesis (C; j), the order in which the cities in C have been visited can be ignored (except j), only the score for the best path reaching j has to be stored."
DP Algorithm for Statistical.,This algorithm can be applied to statistical machine translation.
DP Algorithm for Statistical.,"Using the concept of inverted alignments, we explicitly take care of the coverage constraint by introducing a coverage set C of source sentence positions that have been already processed."
DP Algorithm for Statistical.,The advantage is that we can recombine search hypotheses by dynamic programming.
DP Algorithm for Statistical.,The cities of the traveling salesman problem correspond to source Table 1: DP algorithm for statistical machine translation.
DP Algorithm for Statistical.,"input: source string f1:::fj :::fJ initialization for each cardinality c = 1; 2; ; J do for each pair (C; j), where j 2 C and jCj = c do for each target word e 2 E Qe0 (e; C; j) = p(fj je) max Æ;e00 j02Cnfjg fp(jjj0; J) p(Æ) pÆ(eje0; e00) Qe00 (e0;C n fjg; j0)g words fj in the input string of length J. For the final translation each source position is considered exactly once."
DP Algorithm for Statistical.,Subsets of partial hypotheses with coverage sets C of increasing cardinality c are processed.
DP Algorithm for Statistical.,"For a trigram language model, the partial hypotheses are of the form (e0; e; C; j)."
DP Algorithm for Statistical.,"e0; e are the last two target words, C is a coverage set for the already covered source positions and j is the last position visited."
DP Algorithm for Statistical.,"Each distance in the traveling salesman problem now corresponds to the negative logarithm of the product of the translation, alignment and language model probabilities."
DP Algorithm for Statistical.,"The following auxiliary quantity is defined: Qe0 (e; C; j) := probability of the best partial hypothesis (ei 1; bi 1), where C = fbkjk = 1; ; ig, bi = j, ei = e and ei􀀀1 = e0."
DP Algorithm for Statistical.,"The type of alignment we have considered so far requires the same length for source and target sentence, i.e. I = J. Evidently, this is an unrealistic assumption, therefore we extend the concept of inverted alignments as follows: When adding a new position to the coverage set C, we might generate either Æ = 0 or Æ = 1 new target words."
DP Algorithm for Statistical.,"For Æ = 1, a new target language word is generated using the trigram language model p(eje0; e00)."
DP Algorithm for Statistical.,"For Æ = 0, no new target word is generated, while an additional source sentence position is covered."
DP Algorithm for Statistical.,A modified language model probability pÆ(eje0; e00) is defined as follows: pÆ(eje0; e00) =  1:0 if Æ = 0 p(eje0; e00) if Æ = 1 : We associate a distribution p(Æ) with the two cases Æ = 0 and Æ = 1 and set p(Æ = 1) = 0:7.
DP Algorithm for Statistical.,The above auxiliary quantity satisfies the following recursive DP equation: Qe0 (e; C; j) = Initial Skip Verb Final 1.
DP Algorithm for Statistical.,In.
DP Algorithm for Statistical.,2.
DP Algorithm for Statistical.,diesem 3.
DP Algorithm for Statistical.,Fall.
DP Algorithm for Statistical.,4.
DP Algorithm for Statistical.,mein 5.
DP Algorithm for Statistical.,Kollege.
DP Algorithm for Statistical.,6.
DP Algorithm for Statistical.,kann 7.nicht 8.
DP Algorithm for Statistical.,besuchen 9.
DP Algorithm for Statistical.,Sie.
DP Algorithm for Statistical.,10.
DP Algorithm for Statistical.,am 11.
DP Algorithm for Statistical.,vierten 12.
DP Algorithm for Statistical.,Mai.
DP Algorithm for Statistical.,13.
DP Algorithm for Statistical.,Figure 2: Order in which source positions are visited for the example given in Fig.1.
DP Algorithm for Statistical.,= p(fj je) max Æ;e00 j02Cnfjg np(jjj0; J) p(Æ) pÆ(eje0; e00) Qe00 (e0;C n fjg; j 0 )o: The DP equation is evaluated recursively for each hypothesis (e0; e; C; j).
DP Algorithm for Statistical.,The resulting algorithm is depicted in Table 1.
DP Algorithm for Statistical.,"The complexity of the algorithm is O(E3 J2 2J), where E is the size of the target language vocabulary."
DP Algorithm for Statistical.,3.1 Word ReOrdering with Verbgroup.
DP Algorithm for Statistical.,Restrictions: Quasi-monotone Search The above search space is still too large to allow the translation of a medium length input sentence.
DP Algorithm for Statistical.,"On the other hand, only very restricted reorderings are necessary, e.g. for the translation direction from Table 2: Coverage set hypothesis extensions for the IBM reordering."
DP Algorithm for Statistical.,No: Predecessor coverage set Successor coverage set 1 (f1; ;mg n flg ; l0) !
DP Algorithm for Statistical.,(f1; ;mg ; l) 2 (f1; ;mg n fl; l1g ; l0) !
DP Algorithm for Statistical.,(f1; ;mg n fl1g ; l) 3 (f1; ;mg n fl; l1; l2g ; l0) !
DP Algorithm for Statistical.,(f1; ;mg n fl1; l2g ; l) 4 (f1; ;m 􀀀 1g n fl1; l2; l3g ; l0) !
DP Algorithm for Statistical.,(f1; ;mg n fl1; l2; l3g ;m) German to English the monotonicity constraint is violated mainly with respect to the German verbgroup.
DP Algorithm for Statistical.,"In German, the verbgroup usually consists of a left and a right verbal brace, whereas in English the words of the verbgroup usually form a sequence of consecutive words."
DP Algorithm for Statistical.,"Our new approach, which is called quasi-monotone search, processes the source sentence monotonically, while explicitly taking into account the positions of the German verbgroup."
DP Algorithm for Statistical.,A typical situation is shown in Figure 1.
DP Algorithm for Statistical.,"When translating the sentence monotonically from left to right, the translation of the German finite verb 'kann', which is the left verbal brace in this case, is postponed until the German noun phrase 'mein Kollege' is translated, which is the subject of the sentence."
DP Algorithm for Statistical.,"Then, the German infinitive 'besuchen' and the negation particle 'nicht' are translated."
DP Algorithm for Statistical.,"The translation of one position in the source sentence may be postponed for up to L = 3 source positions, and the translation of up to two source positions may be anticipated for at most R = 10 source positions."
DP Algorithm for Statistical.,"To formalize the approach, we introduce four verbgroup states S: Initial (I): A contiguous, initial block of source positions is covered."
DP Algorithm for Statistical.,Skipped (K): The translation of up to one word may be postponed . Verb (V): The translation of up to two words may be anticipated.
DP Algorithm for Statistical.,Final (F): The rest of the sentence is processed monotonically taking account of the already covered positions.
DP Algorithm for Statistical.,"While processing the source sentence monotonically, the initial state I is entered whenever there are no uncovered positions to the left of the rightmost covered position."
DP Algorithm for Statistical.,The sequence of states needed to carry out the word reordering example in Fig.
DP Algorithm for Statistical.,1 is given in Fig.
DP Algorithm for Statistical.,2.
DP Algorithm for Statistical.,The 13 positions of the source sentence are processed in the order shown.
DP Algorithm for Statistical.,A position is presented by the word at that position.
DP Algorithm for Statistical.,"Using these states, we define partial hypothesis extensions, which are of the following type: (S0;C n fjg; j0) !"
DP Algorithm for Statistical.,"(S; C; j); Not only the coverage set C and the positions j; j0, but also the verbgroup states S; S0 are taken into account."
DP Algorithm for Statistical.,"To be short, we omit the target words e; e0 in the formulation of the search hypotheses."
DP Algorithm for Statistical.,There are 13 types of extensions needed to describe the verbgroup reordering.
DP Algorithm for Statistical.,"The details are given in (Tillmann, 2000)."
DP Algorithm for Statistical.,For each extension a new position is added to the coverage set.
DP Algorithm for Statistical.,"Covering the first uncovered position in the source sentence, we use the language model probability p(ej$; $)."
DP Algorithm for Statistical.,"Here, $ is the sentence boundary symbol, which is thought to be at position 0 in the target sentence."
DP Algorithm for Statistical.,The search starts in the hypothesis (I; f;g; 0).
DP Algorithm for Statistical.,"f;g denotes the empty set, where no source sentence position is covered."
DP Algorithm for Statistical.,The following recursive equation is evaluated: Qe0 (e; S; C; j) = (2) = p(fj je) max Æ;e00 np(jjj0; J) p(Æ) pÆ(eje0; e00) max (S0;j0) (S0 ;Cnfjg;j0)!(S;C;j) j02Cnfjg Qe00 (e0; S0;C n fjg; j0)o: The search ends in the hypotheses (I; f1; ; Jg; j).
DP Algorithm for Statistical.,f1; ; Jg denotes a coverage set including all positions from the starting position 1 to position J and j 2 fJ 􀀀L; ; Jg.
