paper_title,value
abstract,"in this paper, we describe a search procedure for statistical machine translation (mt) based on dynamic programming (dp)."
abstract,"starting from a dp-based solution to the traveling salesman problem, we present a novel technique to restrict the possible word reordering between source and target language in order to achieve an eæcient search algorithm."
abstract,a search restriction especially useful for the translation direction from german to english is presented.
abstract,"the experimental tests are carried out on the verbmobil task (germanenglish, 8000-word vocabulary), which is a limited-domain spoken-language task."
Introduction,the goal of machine translation is the translation of a text given in some source language into a target language.
Introduction,"we are given a source string fj 1 = f1:::fj :::fj of length j, which is to be translated into a target string ei 1 = e1:::ei:::ei of length i"
Introduction,"among all possible target strings, we will choose the string with the highest probability: ^ei 1 = arg max ei 1 fpr(ei 1jfj 1 )g = arg max ei 1 fpr(ei 1) pr(fj 1 jei 1)g : (1) the argmax operation denotes the search problem, i.e"
Introduction,the generation of the output sentence in the target language.
Introduction,"pr(ei 1) is the language model of the target language, whereas pr(fj 1 jei1) is the transla tion model."
Introduction,our approach uses word-to-word dependencies between source and target words.
Introduction,"the model is often further restricted so that each source word is assigned to exactly one target word (brown et al., 1993; ney et al., 2000)."
Introduction,these alignment models are similar to the concept of hidden markov models (hmm) in speech recognition.
Introduction,the alignment mapping is j ! i = aj from source position j to target position i = aj
Introduction,"the use of this alignment model raises major problems if a source word has to be aligned to several target words, e.g"
Introduction,when translating german compound nouns.
Introduction,a simple extension will be used to handle this problem.
Introduction,"in section 2, we brie y review our approach to statistical machine translation."
Introduction,"in section 3, we introduce our novel concept to word reordering and a dp-based search, which is especially suitable for the translation direction from german to english."
Introduction,"this approach is compared to another reordering scheme presented in (berger et al., 1996)."
Introduction,"in section 4, we present the performance measures used and give translation results on the verbmobil task."
Basic Approach.,"in this section, we brie y review our translation approach."
Basic Approach.,"(1), pr(ei 1) is the language model, which is a trigram language model in this case."
Basic Approach.,"for the translation model pr(fj 1 jei 1), we go on the assumption that each source word is aligned to exactly one target word."
Basic Approach.,"the alignment model uses two kinds of parameters: alignment probabilities p(aj jaj􀀀1; i; j), where the probability of alignment aj for position j depends on the previous alignment position aj􀀀1 (ney et al., 2000) and lexicon probabilities p(fj jeaj )."
Basic Approach.,"when aligning the words in parallel texts (for language pairs like spanishenglish, french-english, italiangerman,...), we typically observe a strong localization effect."
Basic Approach.,"in many cases, there is an even stronger restriction: over large portions of the source string, the alignment is monotone."
Basic Approach.,2.1 inverted alignments.
Basic Approach.,"to explicitly handle the word reordering between words in source and target language, we use the concept of the so-called inverted alignments as given in (ney et al., 2000)."
Basic Approach.,an inverted alignment is defined as follows: inverted alignment: i ! j = bi: target positions i are mapped to source positions bi.
Basic Approach.,what is important and is not expressed by the notation is the so-called coverage constraint: each source position j should be 'hit' exactly once by the path of the inverted alignment bi 1 = b1:::bi:::bi
Basic Approach.,"using the inverted alignments in the maximum approximation, we obtain as search criterion: max i (p(jji) max ei 1 ( i yi=1 p(eijei􀀀1 i􀀀2) max bi 1 i yi=1 [p(bijbi􀀀1; i; j) p(fbi jei)])) = = max i (p(jji) max ei 1;bi 1 ( i yi=1 p(eijei􀀀1 i􀀀2) p(bijbi􀀀1; i; j) p(fbi jei)])); where the two products over i have been merged into a single product over i"
Basic Approach.,p(eijei􀀀1 i􀀀2) is the trigram language model probability.
Basic Approach.,the inverted alignment probability p(bijbi􀀀1; i; j) and the lexicon probability p(fbi jei) are obtained by relative frequency estimates from the viterbi alignment path after the final training iteration.
Basic Approach.,"the details are given in (och and ney, 2000)."
Basic Approach.,the sentence length probability p(jji) is omitted without any loss in performance.
Basic Approach.,"for the inverted alignment probability p(bijbi􀀀1; i; j), we drop the dependence on the target sentence length i"
Basic Approach.,2.2 word joining.
Basic Approach.,"the baseline alignment model does not permit that a source word is aligned to two or more target words, e.g"
Basic Approach.,"for the translation direction from german toenglish, the german compound noun 'zahnarztter min' causes problems, because it must be translated by the two target words dentist's appointment."
Basic Approach.,"we use a solution to this problem similar to the one presented in (och et al., 1999), where target words are joined during training."
Basic Approach.,the word joining is done on the basis of a likelihood criterion.
Basic Approach.,"an extended lexicon model is defined, and its likelihood is compared to a baseline lexicon model, which takes only single-word dependencies into account."
Basic Approach.,"when 'zahnarzttermin' is aligned to dentist's, the extended lexicon model might learn that 'zahnarzttermin' actuallyhas to be aligned to both dentist's and ap pointment."
Basic Approach.,"in the following, we assume that this word joining has been carried out."
DP Algorithm for Statistical.,machine translation in this case my colleague can not visit on i n d i e s e m f a l l ka nn m e i n k o l l e g e a m the v i e r t e n m a i n i c h t b e s u c h e n s i e you fourth of may figure 1: reordering for the german verbgroup.
DP Algorithm for Statistical.,"in order to handle the necessary word reordering as an optimization problem within our dynamic programming approach, we describe a solution to the traveling salesman problem (tsp) which is based on dynamic programming (held, karp, 1962)."
DP Algorithm for Statistical.,the traveling salesman problem is an optimization problem which is defined as follows: given are a set of cities s = s1; ; sn and for each pair of cities si; sj the cost dij > 0 for traveling from city si to city sj
DP Algorithm for Statistical.,we are looking for the shortest tour visiting all cities exactly once while starting and ending in city s1.
DP Algorithm for Statistical.,a straightforward way to find the shortest tour is by trying all possible permutations of the n cities.
DP Algorithm for Statistical.,the resulting algorithm has a complexity of o(n!).
DP Algorithm for Statistical.,"however, dynamic programming can be used to find the shortest tour in exponential time, namely in o(n22n), using the algorithm by held and karp."
DP Algorithm for Statistical.,"the approach recursively evaluates a quantity q(c; j), where c is the set of already visited cities and sj is the last visited city."
DP Algorithm for Statistical.,subsets c of increasing cardinality c are processed.
DP Algorithm for Statistical.,the algorithm works due to the fact that not all permutations of cities have to be considered explicitly.
DP Algorithm for Statistical.,"for a given partial hypothesis (c; j), the order in which the cities in c have been visited can be ignored (except j), only the score for the best path reaching j has to be stored."
DP Algorithm for Statistical.,this algorithm can be applied to statistical machine translation.
DP Algorithm for Statistical.,"using the concept of inverted alignments, we explicitly take care of the coverage constraint by introducing a coverage set c of source sentence positions that have been already processed."
DP Algorithm for Statistical.,the advantage is that we can recombine search hypotheses by dynamic programming.
DP Algorithm for Statistical.,the cities of the traveling salesman problem correspond to source table 1: dp algorithm for statistical machine translation.
DP Algorithm for Statistical.,"input: source string f1:::fj :::fj initialization for each cardinality c = 1; 2; ; j do for each pair (c; j), where j 2 c and jcj = c do for each target word e 2 e qe0 (e; c; j) = p(fj je) max æ;e00 j02cnfjg fp(jjj0; j) p(æ) pæ(eje0; e00) qe00 (e0;c n fjg; j0)g words fj in the input string of length j"
DP Algorithm for Statistical.,for the final translation each source position is considered exactly once.
DP Algorithm for Statistical.,subsets of partial hypotheses with coverage sets c of increasing cardinality c are processed.
DP Algorithm for Statistical.,"for a trigram language model, the partial hypotheses are of the form (e0; e; c; j)."
DP Algorithm for Statistical.,"e0; e are the last two target words, c is a coverage set for the already covered source positions and j is the last position visited."
DP Algorithm for Statistical.,"each distance in the traveling salesman problem now corresponds to the negative logarithm of the product of the translation, alignment and language model probabilities."
DP Algorithm for Statistical.,"the following auxiliary quantity is defined: qe0 (e; c; j) := probability of the best partial hypothesis (ei 1; bi 1), where c = fbkjk = 1; ; ig, bi = j, ei = e and ei􀀀1 = e0."
DP Algorithm for Statistical.,"the type of alignment we have considered so far requires the same length for source and target sentence, i.e"
DP Algorithm for Statistical.,"evidently, this is an unrealistic assumption, therefore we extend the concept of inverted alignments as follows: when adding a new position to the coverage set c, we might generate either æ = 0 or æ = 1 new target words."
DP Algorithm for Statistical.,"for æ = 1, a new target language word is generated using the trigram language model p(eje0; e00)."
DP Algorithm for Statistical.,"for æ = 0, no new target word is generated, while an additional source sentence position is covered."
DP Algorithm for Statistical.,a modified language model probability pæ(eje0; e00) is defined as follows: pæ(eje0; e00) =  1:0 if æ = 0 p(eje0; e00) if æ = 1 : we associate a distribution p(æ) with the two cases æ = 0 and æ = 1 and set p(æ = 1) = 0:7.
DP Algorithm for Statistical.,the above auxiliary quantity satisfies the following recursive dp equation: qe0 (e; c; j) = initial skip verb final 1.
DP Algorithm for Statistical.,kann 7.nicht 8.
DP Algorithm for Statistical.,figure 2: order in which source positions are visited for the example given in fig.1.
DP Algorithm for Statistical.,= p(fj je) max æ;e00 j02cnfjg np(jjj0; j) p(æ) pæ(eje0; e00) qe00 (e0;c n fjg; j 0 )o: the dp equation is evaluated recursively for each hypothesis (e0; e; c; j).
DP Algorithm for Statistical.,the resulting algorithm is depicted in table 1.
DP Algorithm for Statistical.,"the complexity of the algorithm is o(e3 j2 2j), where e is the size of the target language vocabulary."
DP Algorithm for Statistical.,3.1 word reordering with verbgroup.
DP Algorithm for Statistical.,restrictions: quasi-monotone search the above search space is still too large to allow the translation of a medium length input sentence.
DP Algorithm for Statistical.,"on the other hand, only very restricted reorderings are necessary, e.g"
DP Algorithm for Statistical.,for the translation direction from table 2: coverage set hypothesis extensions for the ibm reordering.
DP Algorithm for Statistical.,no: predecessor coverage set successor coverage set 1 (f1; ;mg n flg ; l0) !
DP Algorithm for Statistical.,(f1; ;mg ; l) 2 (f1; ;mg n fl; l1g ; l0) !
DP Algorithm for Statistical.,(f1; ;mg n fl1g ; l) 3 (f1; ;mg n fl; l1; l2g ; l0) !
DP Algorithm for Statistical.,(f1; ;mg n fl1; l2g ; l) 4 (f1; ;m 􀀀 1g n fl1; l2; l3g ; l0) !
DP Algorithm for Statistical.,(f1; ;mg n fl1; l2; l3g ;m) german to english the monotonicity constraint is violated mainly with respect to the german verbgroup.
DP Algorithm for Statistical.,"in german, the verbgroup usually consists of a left and a right verbal brace, whereas in english the words of the verbgroup usually form a sequence of consecutive words."
DP Algorithm for Statistical.,"our new approach, which is called quasi-monotone search, processes the source sentence monotonically, while explicitly taking into account the positions of the german verbgroup."
DP Algorithm for Statistical.,a typical situation is shown in figure 1.
DP Algorithm for Statistical.,"when translating the sentence monotonically from left to right, the translation of the german finite verb 'kann', which is the left verbal brace in this case, is postponed until the german noun phrase 'mein kollege' is translated, which is the subject of the sentence."
DP Algorithm for Statistical.,"then, the german infinitive 'besuchen' and the negation particle 'nicht' are translated."
DP Algorithm for Statistical.,"the translation of one position in the source sentence may be postponed for up to l = 3 source positions, and the translation of up to two source positions may be anticipated for at most r = 10 source positions."
DP Algorithm for Statistical.,"to formalize the approach, we introduce four verbgroup states s: initial (i): a contiguous, initial block of source positions is covered."
DP Algorithm for Statistical.,skipped (k): the translation of up to one word may be postponed
DP Algorithm for Statistical.,verb (v): the translation of up to two words may be anticipated.
DP Algorithm for Statistical.,final (f): the rest of the sentence is processed monotonically taking account of the already covered positions.
DP Algorithm for Statistical.,"while processing the source sentence monotonically, the initial state i is entered whenever there are no uncovered positions to the left of the rightmost covered position."
DP Algorithm for Statistical.,the sequence of states needed to carry out the word reordering example in fig.
DP Algorithm for Statistical.,1 is given in fig.
DP Algorithm for Statistical.,the 13 positions of the source sentence are processed in the order shown.
DP Algorithm for Statistical.,a position is presented by the word at that position.
DP Algorithm for Statistical.,"using these states, we define partial hypothesis extensions, which are of the following type: (s0;c n fjg; j0) !"
DP Algorithm for Statistical.,"(s; c; j); not only the coverage set c and the positions j; j0, but also the verbgroup states s; s0 are taken into account."
DP Algorithm for Statistical.,"to be short, we omit the target words e; e0 in the formulation of the search hypotheses."
DP Algorithm for Statistical.,there are 13 types of extensions needed to describe the verbgroup reordering.
DP Algorithm for Statistical.,"the details are given in (tillmann, 2000)."
DP Algorithm for Statistical.,for each extension a new position is added to the coverage set.
DP Algorithm for Statistical.,"covering the first uncovered position in the source sentence, we use the language model probability p(ej$; $)."
DP Algorithm for Statistical.,"here, $ is the sentence boundary symbol, which is thought to be at position 0 in the target sentence."
DP Algorithm for Statistical.,the search starts in the hypothesis (i; f;g; 0).
DP Algorithm for Statistical.,"f;g denotes the empty set, where no source sentence position is covered."
DP Algorithm for Statistical.,the following recursive equation is evaluated: qe0 (e; s; c; j) = (2) = p(fj je) max æ;e00 np(jjj0; j) p(æ) pæ(eje0; e00) max (s0;j0) (s0 ;cnfjg;j0)!(s;c;j) j02cnfjg qe00 (e0; s0;c n fjg; j0)o: the search ends in the hypotheses (i; f1; ; jg; j).
DP Algorithm for Statistical.,f1; ; jg denotes a coverage set including all positions from the starting position 1 to position j and j 2 fj 􀀀l; ; jg.
DP Algorithm for Statistical.,"the final score is obtained from: max e;e0 j2fj􀀀l;;jg p($je; e0) qe0 (e; i; f1; ; jg; j); where p($je; e0) denotes the trigram language model, which predicts the sentence boundary $ at the end of the target sentence."
DP Algorithm for Statistical.,the complexity of the quasimonotone search is o(e3 j (r2+lr)).
DP Algorithm for Statistical.,"the proof is given in (tillmann, 2000)."
DP Algorithm for Statistical.,3.2 reordering with ibm style.
DP Algorithm for Statistical.,"restrictions we compare our new approach with the word reordering used in the ibm translation approach (berger et al., 1996)."
DP Algorithm for Statistical.,a detailed description of the search procedure used is given in this patent.
DP Algorithm for Statistical.,"source sentence words are aligned with hypothesized target sentence words, where the choice of a new source word, which has not been aligned with a target word yet, is restricted1."
